colonne,provenance,motif
profile_overlap_above_pdh,B,plausibilite OK
profile_overlap_below_pdl,B,plausibilite OK
range_extension_above_ib_atr,C,renseignee hors de sa fenetre (100% de valeurs)
range_extension_below_ib_atr,C,renseignee hors de sa fenetre (100% de valeurs)
range_extension_completed,B,plausibilite OK
fvg_up_active,B,plausibilite OK
fvg_dn_active,B,plausibilite OK
fvg_up_created_this_bar,B,plausibilite OK
fvg_dn_created_this_bar,B,plausibilite OK
dist_fvg_up_nearest_atr,C,nulls 100% par jour
dist_fvg_dn_nearest_atr,C,nulls 100% par jour
has_single_prints,C,booleen actif 99.91% (mort)
dist_single_print_atr,B,plausibilite OK
single_print_above,B,plausibilite OK
single_print_below,B,plausibilite OK
single_print_density,B,plausibilite OK
composite_poc_5d,N,"niveau de prix (entree de recalc, pas feature)"
composite_poc_20d,N,"niveau de prix (entree de recalc, pas feature)"
dist_composite_poc_5d_atr,B,plausibilite OK
dist_composite_poc_20d_atr,B,plausibilite OK
sweep_high_active,B,plausibilite OK
sweep_low_active,B,plausibilite OK
sweep_high_this_bar,B,plausibilite OK
sweep_low_this_bar,B,plausibilite OK
bars_since_last_sweep_high,C,nulls 44% par jour
bars_since_last_sweep_low,C,nulls 40% par jour
judas_swing_active,B,"desaccord de seuil, niveau permissif retenu"
judas_swing_direction,B,plausibilite OK
london_first_hour_direction,C,nulls 80% par jour
bars_since_london_open,C,nulls 76% par jour
gamma_block_long,B,"desaccord de seuil, niveau permissif retenu"
gamma_block_short,B,"desaccord de seuil, niveau permissif retenu"
gamma_threshold_ticks,B,plausibilite OK
gamma_block_reasons_long,C,moins de 100 valeurs
gamma_block_reasons_short,C,moins de 100 valeurs
dist_pvwap_pct,B,plausibilite OK
dist_pvwap_sd1u_pct,B,plausibilite OK
dist_pvwap_sd1d_pct,B,plausibilite OK
range_pos,C,nulls 15% par jour
ib_formed_bool,C,nulls 15% dans sa fenetre
atr_regime_zscore_60d,C,nulls 91% par jour
dist_pdh,A,verifiee par identite
dist_pdl,A,verifiee par identite
